iter	Passed	Remaining
0	2	2430
1	4	2311
2	6	2248
3	8	2210
4	10	2128
5	12	2102
6	14	2107
7	16	2100
8	18	2090
9	20	2059
10	22	2054
11	24	2050
12	26	2043
13	29	2073
14	31	2065
15	33	2047
16	35	2043
17	37	2038
18	39	2033
19	41	2041
20	43	2026
21	45	2024
22	47	2015
23	49	2005
24	51	2000
25	53	1988
26	54	1979
27	56	1967
28	58	1960
29	60	1961
30	62	1966
31	64	1965
32	67	1967
33	69	1984
34	72	1989
35	74	1985
36	75	1977
37	78	1980
38	80	1985
39	82	1986
40	85	1988
41	87	1996
42	90	2008
43	92	2001
44	94	1999
45	96	1994
46	98	1987
47	99	1978
48	101	1973
49	103	1966
50	105	1959
51	107	1953
52	109	1961
53	112	1966
54	114	1964
55	116	1965
56	118	1957
57	119	1948
58	121	1940
59	123	1939
60	125	1934
61	127	1926
62	129	1926
63	131	1921
64	133	1915
65	135	1912
66	136	1906
67	138	1898
68	139	1885
69	142	1889
70	144	1890
71	146	1883
72	148	1884
73	150	1883
74	152	1878
75	154	1875
76	156	1878
77	158	1877
78	161	1878
79	164	1887
80	165	1881
81	167	1875
82	169	1872
83	171	1874
84	174	1874
85	176	1878
86	178	1871
87	180	1865
88	182	1865
89	184	1862
90	186	1858
91	188	1858
92	190	1858
93	192	1855
94	194	1855
95	196	1854
96	198	1850
97	200	1845
98	202	1845
99	204	1843
100	206	1839
101	208	1833
102	209	1827
103	211	1821
104	212	1815
105	214	1812
106	216	1809
107	219	1808
108	221	1806
109	222	1801
110	224	1796
111	225	1791
112	227	1787
113	229	1784
114	231	1779
115	232	1775
116	234	1772
117	236	1769
118	238	1764
119	240	1760
120	241	1755
121	243	1750
122	244	1746
123	246	1742
124	248	1737
125	249	1733
126	251	1732
127	252	1722
128	254	1717
129	256	1713
130	257	1709
131	259	1706
132	261	1702
133	262	1698
134	264	1694
135	266	1691
136	268	1689
137	270	1687
138	272	1685
139	273	1681
140	275	1677
141	277	1673
142	278	1670
143	280	1667
144	282	1665
145	284	1663
146	286	1660
147	287	1656
148	289	1652
149	290	1648
150	292	1645
151	294	1642
152	295	1638
153	297	1635
154	299	1634
155	301	1630
156	303	1627
157	304	1623
158	306	1620
159	308	1617
160	309	1615
161	311	1611
162	313	1610
163	316	1611
164	318	1611
165	320	1608
166	321	1604
167	323	1602
168	325	1598
169	326	1596
170	329	1595
171	331	1597
172	333	1596
173	336	1595
174	338	1593
175	339	1591
176	341	1590
177	343	1588
178	346	1590
179	349	1589
180	351	1590
181	353	1589
182	356	1592
183	358	1591
184	361	1590
185	364	1593
186	366	1593
187	368	1591
188	370	1589
189	372	1586
190	373	1583
191	376	1582
